"id";"name";"normalizable";"order"
7;"WIND_DIR";f;7
4;"PM_10";t;-1000
5;"PM_25";t;-990
1;"NO";t;-800
2;"NO_2";t;-790
3;"NO_X";t;-788
31;"WIND_X_GENERATED";f;31
32;"WIND_Y_GENERATED";f;32
33;"TEMP_ODCZ_GENERATED";f;33
34;"RANDOM_GENERATED";f;34
0;"SO2";t;0
6;"WIND_SPEED";t;6
8;"TEMP";t;8
9;"OZON";t;9
10;"CO_2";t;10
11;"CO";t;11
12;"CISN";t;12
13;"PROM_SLON";t;13
14;"METAN";t;14
15;"WILGOT";t;15
16;"OPADY";t;16
17;"BENZEN";t;17
18;"TOLUEN";t;18
19;"O_KSYLEN";t;19
20;"M_P_KSYLEN";t;20
21;"ETYLOBENZEN";t;21
22;"RTEC_GAZOWA";t;22
23;"WIND_X";t;23
24;"WIND_Y";t;24
25;"PUNKT_ROSY";t;25
26;"WIND_DIR_HIGH";t;26
27;"WIND_SPEED_HIGH";t;27
28;"TEMP_ODCZ";t;28
29;"PROM_UV";t;29
30;"ZACHMURZENIE";t;30
35;"PM_10_EXCEEDANCE";f;0
36;"POINT_TYPE_GENERATED";f;0
37;"OLOW";t;37
38;"RTEC";t;38
39;"ARSEN";t;39
40;"BENZO-A-PIREN";t;40
41;"KADM";t;41
42;"CHROM";t;42
43;"NIKIEL";t;43
